,Regions,p-value,Effect Size
0,Putamen_R,4.847577808321278e-25,-0.13774953984307164
1,Frontal_Inf_Tri_L,3.89573189046448e-17,-0.07468286995520945
2,ParaHippocampal_L,5.2944378059563474e-17,-0.12376396552194113
3,ParaHippocampal_R,5.599273026721456e-17,-0.13335444403571928
4,Amygdala_L,9.978679346748281e-16,-0.0968058505943597
5,Hippocampus_R,1.0129135620257567e-14,-0.11059137478585529
6,Amygdala_R,2.1966340859794804e-14,-0.09114704136470815
7,Olfactory_L,1.7517945852065736e-13,-0.06490621977291897
8,Caudate_R,1.827576251655224e-13,-0.08809669234830643
9,Temporal_Pole_Mid_L,2.2527664189740091e-13,-0.07189766388066839
10,Temporal_Inf_R,1.0771316535438657e-12,-0.09360765034124102
11,Parietal_Inf_L,1.7855261920337414e-12,-0.05686750836860963
12,Cerebelum_4_5_R,4.600195167947343e-12,-0.10964864621505603
13,Angular_R,2.3903050057526204e-11,-0.057370245660258036
14,Occipital_Sup_L,5.751542444977536e-10,-0.06007246770601178
15,Temporal_Inf_L,5.949977482746836e-10,-0.07762496834189256
16,Cerebelum_7b_R,5.907434763994741e-09,-0.06173959798710771
17,Angular_L,1.0220970161887944e-08,-0.03863678208075977
18,Vermis_3,1.430618420062649e-08,-0.04141947361686193
19,Hippocampus_L,2.159701600814352e-08,-0.07712572166923988
20,Precuneus_R,2.4032635685127626e-08,-0.060394309805173706
21,Supp_Motor_Area_L,2.5701646832155995e-08,-0.060088901876193083
22,Frontal_Inf_Oper_R,2.597910516002167e-08,-0.05031863361130543
23,Heschl_L,1.150373293512267e-07,-0.06489059790957734
24,Temporal_Pole_Sup_R,1.2458076712746406e-07,-0.05858072447571916
25,Frontal_Mid_Orb_R,1.4260530509004674e-07,-0.04039236249351419
26,Cerebelum_3_L,1.51519928321183e-07,-0.04849499668501475
27,Temporal_Sup_L,1.6340884614972565e-07,-0.04813884297835804
28,Lingual_L,1.6774699204653347e-07,-0.06722086916341737
29,Parietal_Inf_R,1.8623935869451922e-07,-0.05181250816758708
30,Frontal_Inf_Tri_R,2.6773579779682485e-07,-0.046257368466023484
31,Cerebelum_9_L,3.287477389884752e-07,-0.05596755191697524
32,Vermis_4_5,3.8710728228194976e-07,-0.04466398944960364
33,Calcarine_R,4.944620966442321e-07,-0.07880717825144473
34,Putamen_L,1.6890983608685605e-06,-0.06378159046790502
35,Occipital_Mid_R,1.7907021133695613e-06,-0.05659624212510182
36,Cuneus_R,2.9155893500500243e-06,-0.05652285289038184
37,Calcarine_L,3.4198220701895648e-06,-0.0550551765964618
38,SupraMarginal_R,3.6568218823394496e-06,-0.03838887945049569
39,Rolandic_Oper_R,9.224086819704163e-06,-0.047026930896879135
40,Occipital_Sup_R,1.5352171573137592e-05,-0.04194370508379546
41,Frontal_Sup_Orb_R,2.6247880480790506e-05,-0.03838144374472964
42,Cuneus_L,3.13911057501807e-05,-0.04603553723687147
43,Occipital_Inf_L,3.366249408137622e-05,-0.049197430559633465
44,Frontal_Inf_Orb_L,3.8320408285535e-05,-0.04137578701402523
45,Vermis_1_2,7.073901818056511e-05,-0.03011505173191833
46,Lingual_R,8.962589217005448e-05,-0.05529917974169398
47,Caudate_L,9.371943375585879e-05,-0.04182345583468126
48,Olfactory_R,0.00031094275991782005,-0.03888457900408663
49,Temporal_Pole_Mid_R,0.0003521166666635544,-0.04828628139705688
